"rep","n","probs","quants","model","comp","uwd1","uwd1o","uwd2","ks","kld","tv"
1,5000,3,13,"cltn5",5,0.0202904550105944,0.180096564015973,0.00050981070499575,0.032770973788685,0.190171027690725,0.269689476186355
1,5000,3,13,"clt5",5,0.0293091456177761,0.243870216332909,0.000819235818324722,0.0352027937994782,0.325089581113111,0.347685143225709
1,5000,3,13,"cltn4",4,0.00813286476088817,0.151946187780272,7.17039382675933e-05,0.0158425508535807,0.101031408466724,0.201054169502006
1,5000,3,13,"clt4",4,0.0121451983924548,0.212792460460609,0.00014715343158037,0.0154674566420084,0.275435026118292,0.322951699697908
1,5000,3,13,"cltn3",3,0.0107507264370118,0.0913700384662162,0.000149757149841714,0.0216544996421554,0.0672136906276408,0.136179849665792
1,5000,3,13,"clt3",3,0.0284835484433297,0.175843895493706,0.000924841899551887,0.0332967832185059,0.178386532426298,0.255077263970884
1,5000,3,13,"cltn2",2,0.0135115006021215,0.0119934042876162,0.000236124115512384,0.0234295953530264,0.0140562672181382,0.0389548937338164
1,5000,3,13,"clt2",2,0.0263263601927287,0.0131945474095153,0.000709919827866313,0.0300019227357351,0.0124580926610114,0.0404610752584345
1,5000,3,13,"cltn1",1,0.0569379081998787,0.0410608335350371,0.00320415015235934,0.0642734893776765,0.121507600777358,0.115152281000483
1,5000,3,13,"clt1",1,0.0455386946510428,0.0422453124563736,0.00207122341301105,0.0488494608757681,0.117235560631333,0.115869404038944
2,5000,3,13,"cltn5",5,0.0154760504445079,0.332222133455678,0.000252085644140988,0.0200108580875114,0.307492140299528,0.311726993261965
2,5000,3,13,"clt5",5,0.0182278902494507,0.29596338344123,0.00037948065633951,0.0300677548511518,0.335258436388957,0.326757829220397
2,5000,3,13,"cltn4",4,0.0277617920174936,0.197610741858717,0.000812902825879316,0.0325831814309701,0.149887969720388,0.191435250659517
2,5000,3,13,"clt4",4,0.0260498541449109,0.261055690245185,0.000907779518805342,0.0410080244649186,0.316072306074007,0.305442412140993
2,5000,3,13,"cltn3",3,0.0342899377547882,0.0150873338205489,0.00110197684252727,0.0441374269609144,0.0108172546294085,0.0354612487156485
2,5000,3,13,"clt3",3,0.0150784912117234,0.274952341443773,0.000252978394590193,0.0230217212805498,0.29045546026709,0.281806018879212
2,5000,3,13,"cltn2",2,0.01486004477138,0.0111601592154743,0.000241143111256709,0.0228609647164894,0.0118975683171888,0.0362718514928669
2,5000,3,13,"clt2",2,0.00933237775629189,0.0121899415559271,0.00010693133505158,0.0184808608236479,0.0116473286784158,0.0364483344096434
2,5000,3,13,"cltn1",1,0.0569928036944667,0.0453915169088044,0.00412389444671753,0.0803271128829026,0.0741502058287035,0.117168180888202
2,5000,3,13,"clt1",1,0.0428322854872608,0.0460155348774861,0.00180687850624792,0.0507634746399138,0.0723472554223511,0.117771591597463
3,5000,3,13,"cltn5",5,0.0399582453582412,0.250071031972123,0.00151798348078672,0.0387015662979611,0.299000148356555,0.311513235399598
3,5000,3,13,"clt5",5,0.0386406773286895,0.235259098053329,0.0015625499553524,0.0445941052403052,0.263715120771333,0.28603863726817
3,5000,3,13,"cltn4",4,0.0380314293098637,0.259064295759195,0.00177236671011926,0.0553291268544225,0.25242055746615,0.273101396083685
3,5000,3,13,"clt4",4,0.0335125564774831,0.272867009084777,0.00106203895777747,0.0348332068777671,0.384151435429398,0.366697653019162
3,5000,3,13,"cltn3",3,0.0560147158057824,0.148432310793268,0.0028835217434579,0.0534484788210368,0.166523394797823,0.224966833867853
3,5000,3,13,"clt3",3,0.0230096025572663,0.25822873747501,0.000496175770292684,0.0266154598757123,0.319558936432236,0.335166398107392
3,5000,3,13,"cltn2",2,0.0336451708215714,0.0182938782079923,0.00103981527512942,0.0357874355827777,0.00435191227461606,0.0384404101921862
3,5000,3,13,"clt2",2,0.0156553868143641,0.0190254829926323,0.000352953236197593,0.0292766616967746,0.00439766541445737,0.0386448483931318
3,5000,3,13,"cltn1",1,0.0505482239632263,0.0478253693569698,0.00256582401086134,0.0560056878511217,0.090661549136178,0.119067806492987
3,5000,3,13,"clt1",1,0.0458550070362829,0.0491670212086231,0.00272065086970036,0.0674313100656037,0.0868223292826667,0.12013106517205
4,5000,3,13,"cltn5",5,0.0203388923630548,0.232747052467126,0.000463597932123569,0.0268221375649303,0.201664079167163,0.279348157091953
4,5000,3,13,"clt5",5,0.020880839002615,0.321237903507784,0.000466043776419438,0.0316922830176074,0.329947409345143,0.350829429371325
4,5000,3,13,"cltn4",4,0.0201105123604548,0.106311304936341,0.000450012555451242,0.0263689171269456,0.0544190151100319,0.143912456280567
4,5000,3,13,"clt4",4,0.0346020098238571,0.187442119095709,0.00106998504342861,0.0352411642034863,0.17843082335527,0.2662025541626
