"rep","n","probs","quants","model","comp","uwd1","uwd1o","uwd2","ks","kld","tv"
1,1000,8,50,"cltn5",5,0.0191014294682915,0.249602461451538,0.000406689279704376,0.0239127206863634,0.288646190820094,0.322048318949452
1,1000,8,50,"clt5",5,0.0191156473233589,0.211676444255469,0.000389710497398181,0.0260341818411692,0.227943653323707,0.289174063610663
1,1000,8,50,"cltn4",4,0.0318206348517676,0.190764799956636,0.00119005723582998,0.0471334253049404,0.216966147288473,0.282193121600206
1,1000,8,50,"clt4",4,0.0356821568717753,0.115821021639273,0.00130493043793829,0.0455488232111239,0.14690980107885,0.209434545925949
1,1000,8,50,"cltn3",3,0.0546531460028496,0.0185184124126782,0.00259549171013039,0.0486079728541334,0.0179223927889899,0.0379314536260619
1,1000,8,50,"clt3",3,0.0265328509405341,0.0232311445867847,0.000664446307753079,0.0275589695044791,0.0157322414629047,0.0384373889790058
1,1000,8,50,"cltn2",2,0.0471544667634752,0.018747552321741,0.00240458924433556,0.0565221994985966,0.00583466764547207,0.0390482355128165
1,1000,8,50,"clt2",2,0.0431125518143367,0.0196499444247101,0.00174649338129444,0.0415365218712072,0.00577931422003418,0.0394018700807111
1,1000,8,50,"cltn1",1,0.0532076946212004,0.0477555301104252,0.00335997460686398,0.0694828871699713,0.0577934238703709,0.116800645911444
1,1000,8,50,"clt1",1,0.0464771055333,0.047109330761011,0.00222539293577596,0.0501072035086546,0.0576581011289373,0.116659756297192
2,1000,8,50,"cltn5",5,0.0267438211625258,0.255982061995507,0.00076778916369315,0.0301401461261831,0.33506722484211,0.329530917246092
2,1000,8,50,"clt5",5,0.0177989246972855,0.252395663128525,0.00041350458469366,0.0312870791005561,0.301529731373648,0.310730689535046
2,1000,8,50,"cltn4",4,0.0230435623899291,0.190210187620112,0.000611852280009538,0.0322306776211124,0.224715138048932,0.269526507806199
2,1000,8,50,"clt4",4,0.0352867192601969,0.215740279692648,0.00121046375612663,0.0396816603934983,0.245433338159854,0.279511757565492
2,1000,8,50,"cltn3",3,0.0199807300682406,0.120110137901519,0.000446338128834847,0.0275695381207171,0.100915923516674,0.153318395400956
2,1000,8,50,"clt3",3,0.0193025971155579,0.10073058270083,0.000406168295958474,0.0257266892709985,0.0808324947527939,0.129093712343439
2,1000,8,50,"cltn2",2,0.014376058384453,0.0117471288576884,0.000298375920538494,0.0297904586488908,0.012773397425704,0.0397149266575624
2,1000,8,50,"clt2",2,0.0304319845534372,0.0121855343196123,0.00110986802136475,0.0417977171372874,0.0126039643900146,0.0393075005056959
2,1000,8,50,"cltn1",1,0.0483607507673581,0.0519318517249513,0.00229116401592983,0.0487715084791192,0.0803187293910226,0.122485208991435
2,1000,8,50,"clt1",1,0.0446964929712239,0.0522648634265576,0.00207652620426423,0.0528796220833321,0.0801019985606436,0.122728729082051
3,1000,8,50,"cltn5",5,0.0163975755198861,0.254449316900446,0.000317121142561261,0.0227750354294128,0.28021137870647,0.319132939821443
3,1000,8,50,"clt5",5,0.0307981830842796,0.24656174137143,0.00111840564362044,0.0429507215008156,0.294620604736707,0.331934104551085
3,1000,8,50,"cltn4",4,0.0492080889319874,0.25332978006978,0.00221869381907688,0.0467782931608646,0.312194115775433,0.340574640768106
3,1000,8,50,"clt4",4,0.0270617820420756,0.23996011988257,0.000761151718055556,0.0286249670115728,0.299531123473001,0.335331194207337
3,1000,8,50,"cltn3",3,0.0274983669251392,0.192975027721576,0.000820698785419797,0.038886736288814,0.185805027973993,0.264056349916479
3,1000,8,50,"clt3",3,0.0234730845194337,0.160663995760608,0.000577872271808218,0.0293060984132826,0.13035959438013,0.22658340698266
3,1000,8,50,"cltn2",2,0.0125547687162917,0.0166886504123157,0.000178187000094951,0.0237155935581901,0.00243975867949448,0.0434983225515563
3,1000,8,50,"clt2",2,0.0278100005260002,0.0175588669917123,0.00119271892981034,0.0524418735703978,0.00259578215594446,0.0445823922233472
3,1000,8,50,"cltn1",1,0.0466902343436635,0.0421112538640528,0.00235211219383939,0.0528754330747596,0.0727568770952239,0.115669051196838
3,1000,8,50,"clt1",1,0.0391242521104085,0.0421807163229426,0.00184769909208459,0.0522734230568436,0.072156993788634,0.115759679790955
4,1000,8,50,"cltn5",5,0.0172366196500348,0.198282501143279,0.000342545054853691,0.0263854001343967,0.2004222564218,0.300508842995328
4,1000,8,50,"clt5",5,0.0170277031918923,0.197039030435212,0.00034640070993173,0.0291322383213706,0.198507745721867,0.298564980042112
4,1000,8,50,"cltn4",4,0.0471883345840433,0.190176852294486,0.00203785389379026,0.0496328039274583,0.17936609731649,0.286357013811072
4,1000,8,50,"clt4",4,0.0163662765100609,0.184253147157691,0.000355612939251312,0.0325856079541664,0.155122659794133,0.2697263687234
4,1000,8,50,"cltn3",3,0.032021779832492,0.154593168916036,0.00100739225985711,0.0350322576147815,0.0865942584307934,0.206407506347088
4,1000,8,50,"clt3",3,0.0342231861827339,0.172353841406535,0.00157408992050938,0.0434989678440788,0.124073224752708,0.244996440320669
4,1000,8,50,"cltn2",2,0.0469941483511896,0.020652683666637,0.00190954566332876,0.0431203732401443,0.00377544543875403,0.0389856994462944
4,1000,8,50,"clt2",2,0.0253374483994683,0.021779942081299,0.000724112563823275,0.0333263647908666,0.00336941245727483,0.0400184834838792
4,1000,8,50,"cltn1",1,0.0510175498211354,0.0432356423681915,0.00251334347916003,0.0545381309314547,0.100751192243867,0.116199657030994
4,1000,8,50,"clt1",1,0.0381090364759957,0.043605282078355,0.00163873486946599,0.0537724021509927,0.0994883713094983,0.116422279635069
5,1000,8,50,"cltn5",5,0.0235809842886999,0.281442887303377,0.000550931258279185,0.0256919705843499,0.293230724465576,0.320219235859446
5,1000,8,50,"clt5",5,0.0149779718492916,0.199050937484492,0.000245355968938909,0.0261373450323328,0.168095544457002,0.242449008625971
5,1000,8,50,"cltn4",4,0.030136283541854,0.207558609672218,0.000918366141976574,0.035103203681609,0.202095517250634,0.272740888013622
5,1000,8,50,"clt4",4,0.0211336535444573,0.224129536198651,0.000453904522479558,0.0312438874511941,0.216628857633203,0.281610962400381
5,1000,8,50,"cltn3",3,0.0261291922484458,0.219508717828579,0.000641882476678838,0.0356384270570317,0.210814054145239,0.279171386163645
5,1000,8,50,"clt3",3,0.0392218658794461,0.159191460543154,0.00165198539915203,0.0516957404670546,0.120193447964834,0.183060290329329
5,1000,8,50,"cltn2",2,0.0266053227595543,0.0144076527462951,0.000837362078418191,0.0411639113733469,0.0148786921964574,0.0544393268717541
5,1000,8,50,"clt2",2,0.0397507025197391,0.0148893610779394,0.00211037859230975,0.0610126796008964,0.0150855705228471,0.0546548205069324
5,1000,8,50,"cltn1",1,0.0542410706377411,0.0417701965793887,0.00316551808353832,0.0658648756294266,0.160207627407212,0.113692240602661
5,1000,8,50,"clt1",1,0.0383272881050534,0.0415759462907098,0.00162789042825865,0.0466354877594079,0.155976859936175,0.113562918576145
6,1000,8,50,"cltn5",5,0.0251693110707786,0.244670900519481,0.000658989169258929,0.0327022021829451,0.315502528660151,0.340141855326973
6,1000,8,50,"clt5",5,0.026780414149639,0.227844419567186,0.000782476327443809,0.0336019672325267,0.29400312068458,0.329487711562502
6,1000,8,50,"cltn4",4,0.0173026837366747,0.212010409672572,0.000374535752995331,0.030425609928962,0.279122805002883,0.318165971641569
6,1000,8,50,"clt4",4,0.0411911880918455,0.214923966991863,0.00200570124940803,0.0547146249693024,0.281191710343448,0.316681230362157
6,1000,8,50,"cltn3",3,0.0373796936319582,0.215184145949223,0.00144751925165315,0.0408017044145941,0.294609461663809,0.321557746443444
6,1000,8,50,"clt3",3,0.0569206546814634,0.16411310920229,0.00302096250185052,0.0535922054129075,0.164850538298742,0.243444076177009
6,1000,8,50,"cltn2",2,0.0319902624125572,0.0396601980223657,0.00139859792298423,0.0521662174075301,0.0156450229535573,0.070203800083616
6,1000,8,50,"clt2",2,0.0357041801897004,0.0387523682234535,0.00120300733143435,0.0381770750179438,0.015702376281104,0.0683896533045437
6,1000,8,50,"cltn1",1,0.0498610225294718,0.0497109333495769,0.00339300309151006,0.0773931736513876,0.128586878611477,0.118667705369624
6,1000,8,50,"clt1",1,0.061888247851199,0.0496638382152228,0.00457276461507946,0.0767977743039158,0.128210778489792,0.118700229237838
7,1000,8,50,"cltn5",5,0.0259529147945101,0.250226288644325,0.000868542242459594,0.0380177750671568,0.2587676745398,0.296393541456229
7,1000,8,50,"clt5",5,0.0234532617804994,0.181934556503134,0.00059953518154156,0.0345399577418275,0.188724710457859,0.261833819079287
7,1000,8,50,"cltn4",4,0.0174607543679929,0.161687139758238,0.000322821202384545,0.0294738068877005,0.15703468623694,0.21170882991737
7,1000,8,50,"clt4",4,0.0289825715695239,0.168691352001234,0.000935797140298286,0.0390997393947213,0.160245391217233,0.235949223106726
7,1000,8,50,"cltn3",3,0.019678225095805,0.149641035789826,0.000369466145698996,0.0213604806658125,0.132774075554037,0.222399122980597
7,1000,8,50,"clt3",3,0.0142878815241935,0.216964865753314,0.000219042393047562,0.0193692348689843,0.198285057951048,0.242980842593009
7,1000,8,50,"cltn2",2,0.0317112703052099,0.0208837712367485,0.00119893069677573,0.0393192008218579,0.00406694395907699,0.0536840004453406
7,1000,8,50,"clt2",2,0.0237890130263212,0.0205523217993415,0.000639697016898941,0.035425514439647,0.0037379544384398,0.0527478136616221
7,1000,8,50,"cltn1",1,0.045560584326916,0.049236667852354,0.00212182131595398,0.0513550598951013,0.0585563070434015,0.120500041093606
7,1000,8,50,"clt1",1,0.0496724451984357,0.0484645538757441,0.00271086664784563,0.0638295148455152,0.0594182743030867,0.119960795828267
8,1000,8,50,"cltn5",5,0.030901351511129,0.228226254773878,0.000962955391467752,0.035078878745522,0.276055162329755,0.313535500019763
8,1000,8,50,"clt5",5,0.0247191736454823,0.208756392115784,0.000760164215685407,0.0376375389013646,0.245336868162358,0.295803569153582
8,1000,8,50,"cltn4",4,0.0451098343556523,0.172282972541744,0.00249439465631541,0.0625114920845399,0.153080657702323,0.223509239649889
8,1000,8,50,"clt4",4,0.052212650043707,0.19827075661352,0.00312261975702834,0.0658560596888433,0.224735889823905,0.286226575648134
8,1000,8,50,"cltn3",3,0.0195650268375183,0.167076831850647,0.000414851130559791,0.0265267111601818,0.157209054585827,0.233207227975988
8,1000,8,50,"clt3",3,0.0183516416259792,0.158898583318996,0.000339273035495701,0.0281669917337686,0.140165299482318,0.215859203101506
8,1000,8,50,"cltn2",2,0.0533192304739614,0.0215466676693031,0.00311017323049822,0.0657267236046969,0.0202040318708263,0.0540859922093882
8,1000,8,50,"clt2",2,0.0219575043274709,0.0220990886140053,0.000643203816828345,0.0419935734954905,0.0211088341080739,0.0544793345601531
8,1000,8,50,"cltn1",1,0.0670337868022678,0.05049306465333,0.00523273269770195,0.0874924474649853,0.0992274425143554,0.121356797904486
8,1000,8,50,"clt1",1,0.0410743529780002,0.0509006675749123,0.00162536186336802,0.0418939589840339,0.0985708405066067,0.121679608390397
