"rep","n","probs","quants","model","comp","uwd1","uwd1o","uwd2","ks","kld","tv"
1,2000,8,50,"cltn5",5,0.0167950990371484,0.261221349472936,0.000336019731213781,0.0257466591711994,0.302850100339954,0.336515554686381
1,2000,8,50,"clt5",5,0.0388200392150834,0.281768724686486,0.00161583544499824,0.047800119023225,0.345816585971835,0.360429169162408
1,2000,8,50,"cltn4",4,0.0423507704120891,0.267764253282758,0.00196130026725705,0.053744912040138,0.319710237342119,0.346365967507986
1,2000,8,50,"clt4",4,0.0348074940832149,0.196601987306672,0.00109299345813475,0.0375195065598791,0.194565359499174,0.245216059190951
1,2000,8,50,"cltn3",3,0.0262518123053558,0.0319924006586611,0.000812610589260649,0.0368779857639643,0.0180932215739178,0.0443583043931933
1,2000,8,50,"clt3",3,0.0395984739872492,0.106978308982601,0.0015705373096491,0.0493233319086497,0.084392895827011,0.149880537819166
1,2000,8,50,"cltn2",2,0.0272002086116017,0.0194437798398972,0.000814725516587339,0.0367496989339461,0.00437980753812995,0.0426746479662102
1,2000,8,50,"clt2",2,0.0282732775103204,0.0193865433462073,0.000721791683384939,0.0257551879628685,0.00422548598440663,0.042265920025027
1,2000,8,50,"cltn1",1,0.0519264301305387,0.0465596651736088,0.002711053618823,0.0551157075362937,0.0925614794834304,0.118403215453525
1,2000,8,50,"clt1",1,0.050723300878701,0.0467568497938691,0.00273246223063994,0.0563758522515716,0.0919121436646695,0.118572141206531
2,2000,8,50,"cltn5",5,0.0465113270913904,0.269778003869504,0.00217283647265695,0.0518986378511751,0.301896503477264,0.338003249169916
2,2000,8,50,"clt5",5,0.0329648708698895,0.289999172315564,0.00128350015812973,0.045544913036656,0.341861542956183,0.361780881837769
2,2000,8,50,"cltn4",4,0.0129014183075879,0.193967975019204,0.000197352082482271,0.0203653301133009,0.173334467689293,0.254866669518778
2,2000,8,50,"clt4",4,0.0223519677013493,0.224541056445232,0.000633918040817787,0.0349517322629835,0.221629599767799,0.276793024973327
2,2000,8,50,"cltn3",3,0.0432905582324504,0.0958795027460745,0.00179871135655042,0.046740903132672,0.125933824210239,0.187981185873137
2,2000,8,50,"clt3",3,0.0131179747995454,0.0993323845500759,0.000224213655039843,0.0265491453933204,0.043608747183247,0.142486228570022
2,2000,8,50,"cltn2",2,0.0110723636094748,0.0110554836312181,0.000177843003580646,0.0246684537287785,0.0177351931114,0.0418674174348657
2,2000,8,50,"clt2",2,0.0180661424108032,0.010567454430666,0.000372401167496562,0.0288836395796672,0.0172130090756684,0.0418487964206446
2,2000,8,50,"cltn1",1,0.0299493375584109,0.0364159856331245,0.00100925670709194,0.0370273083548427,0.164381545643906,0.112777588929108
2,2000,8,50,"clt1",1,0.05067094729749,0.0365629475449889,0.00290236472223031,0.0648927074845974,0.163034610452613,0.112839449215931
3,2000,8,50,"cltn5",5,0.0186960769530439,0.300724806108694,0.000425686667813837,0.0294375874507255,0.235336200255059,0.297632515797047
3,2000,8,50,"clt5",5,0.0182246023869248,0.215477359613002,0.000399600040524711,0.0252963225927713,0.193412776033764,0.278018862885503
3,2000,8,50,"cltn4",4,0.0183808767679352,0.142622860531105,0.000330842981836719,0.0217044201287251,0.137852696909792,0.236480407801296
3,2000,8,50,"clt4",4,0.0388579648690479,0.16988857326878,0.00140446305162261,0.036006976507328,0.151915292652293,0.240819948287279
3,2000,8,50,"cltn3",3,0.0279297143848195,0.0145649444870666,0.000718258225359573,0.0294085068485012,0.0130898255483513,0.0376561125001562
3,2000,8,50,"clt3",3,0.0247521613094782,0.0155877271070691,0.000524744905392481,0.0295190443666082,0.00969544912685371,0.0363003463836165
3,2000,8,50,"cltn2",2,0.0268671537234812,0.020806147407982,0.000714188601243119,0.0319425118343346,0.00983016740107231,0.0573486096081481
3,2000,8,50,"clt2",2,0.0352353381562934,0.0195502610699132,0.00133139532097907,0.0433354848258676,0.00933768379505374,0.0539869693930501
3,2000,8,50,"cltn1",1,0.043864560540604,0.0413885967189988,0.00204750491743004,0.0565808294871162,0.104146785458436,0.11462765555151
3,2000,8,50,"clt1",1,0.0449981511347585,0.0416853993749379,0.0020428701791474,0.0512495344228039,0.103045853990529,0.114780300354685
4,2000,8,50,"cltn5",5,0.0150107705107066,0.226202741854698,0.000267814282300069,0.026972621141732,0.268807818464017,0.315169701226817
4,2000,8,50,"clt5",5,0.0159346570224283,0.235297440958168,0.000299494263583536,0.0253577593826015,0.304784503084161,0.340870328861485
4,2000,8,50,"cltn4",4,0.0149235563052358,0.145649773506716,0.000241487254995075,0.0208753944292904,0.179499822832077,0.246390950441236
4,2000,8,50,"clt4",4,0.0127366053231034,0.192364461143159,0.000181561289688019,0.0155801961623839,0.210217342550987,0.284365627542017
4,2000,8,50,"cltn3",3,0.0186767054816751,0.0170359908449459,0.000441695585743519,0.0316991241184932,0.013309685212372,0.036321167901599
4,2000,8,50,"clt3",3,0.0166597673822768,0.0167377063824167,0.000330172467454565,0.0279203290032148,0.0129354876534757,0.0362597362861314
4,2000,8,50,"cltn2",2,0.0320408579767692,0.0139795678702118,0.00107807842853113,0.0395990299705669,0.0138749374755447,0.0363189036713051
4,2000,8,50,"clt2",2,0.0188696240116966,0.0138995643859739,0.000447828606787057,0.0277870190969028,0.0123546473257464,0.0371649714399092
4,2000,8,50,"cltn1",1,0.0479943270793848,0.044695588345713,0.00244227499224882,0.0596509911195609,0.093535661340036,0.117413851221346
4,2000,8,50,"clt1",1,0.0446361094661416,0.0444040764610352,0.00193758330193416,0.0436446787582961,0.0943116253031893,0.117220873768817
5,2000,8,50,"cltn5",5,0.0184705892494441,0.238300424340896,0.000370877735627303,0.0225424709256435,0.284116095131595,0.323459843798326
5,2000,8,50,"clt5",5,0.0163785653450786,0.252171622612915,0.000276445567395869,0.0228157823222132,0.289407607489197,0.324100782883225
5,2000,8,50,"cltn4",4,0.0308085353233958,0.206032259033576,0.00109050978072436,0.0383026189602916,0.237393365944631,0.297256812654852
5,2000,8,50,"clt4",4,0.0286782622072111,0.191387141977483,0.000819994934842563,0.0342347490704361,0.216683662741685,0.285738336661436
5,2000,8,50,"cltn3",3,0.0245917249050187,0.148879135922113,0.000743349407353094,0.0347592716770738,0.134480223606099,0.221936107762969
