"rep","n","probs","quants","model","comp","uwd1","uwd1o","uwd2","ks","kld","tv"
1,5000,1,9,"cltn5",5,0.0232083362833974,0.106907317009521,0.000604751913540825,0.0345631985611475,0.0912991071919402,0.151235830308302
1,5000,1,9,"clt5",5,0.0365042810747358,0.315368166720443,0.00125117702545319,0.0389902776088994,0.542574663738311,0.42394782315331
1,5000,1,9,"cltn4",4,0.0121998268039122,0.234819697363464,0.000170084854628247,0.0184203612825413,0.295928246883067,0.31371368767078
1,5000,1,9,"clt4",4,0.0196772025701316,0.347021582971265,0.000437354050068533,0.0311395810548499,0.585023062216739,0.44357169295855
1,5000,1,9,"cltn3",3,0.0139085512012939,0.11613551402563,0.000242167434653387,0.0206249186671569,0.134946621398363,0.19464336377309
1,5000,1,9,"clt3",3,0.0197208214325879,0.373357307186893,0.000371708501349073,0.0266511463326636,0.545763637402655,0.427138779127784
1,5000,1,9,"cltn2",2,0.0161517889186218,0.0136408600948563,0.000324628437949115,0.0234114495932557,0.0800633468678023,0.0432442938996008
1,5000,1,9,"clt2",2,0.0269404703463487,0.101943839117394,0.00070887160450032,0.0362167487880807,0.136482833130836,0.18509112952436
1,5000,1,9,"cltn1",1,0.0466226776995241,0.0465919001435394,0.00257820109511915,0.0661330286011867,0.163732263331381,0.118556813969413
1,5000,1,9,"clt1",1,0.0440026070859829,0.0478083051210525,0.00222640745842018,0.060059899325959,0.160749923227586,0.119395487920875
2,5000,1,9,"cltn5",5,0.0261117439267335,0.158925993071859,0.000763765590329493,0.0329146457731327,0.227183990322824,0.25896582840973
2,5000,1,9,"clt5",5,0.0239452408638271,0.342187238028146,0.000662823028749666,0.0406723766909924,0.589846464356801,0.440564877375072
2,5000,1,9,"cltn4",4,0.0273071210519028,0.133083599070883,0.000894910092407512,0.0410490248211071,0.145214393718375,0.162565425449084
2,5000,1,9,"clt4",4,0.0234495108869098,0.384571531268835,0.000547856663592099,0.0278027512766628,0.516744093037485,0.412097938200706
2,5000,1,9,"cltn3",3,0.0161333829298754,0.270438017640579,0.000321369994264643,0.0235706867006719,0.256042256850306,0.255857530846926
2,5000,1,9,"clt3",3,0.0222407024721698,0.262476847777677,0.000536642008711488,0.0313461236748618,0.423569384058299,0.36945397746994
2,5000,1,9,"cltn2",2,0.0410237224885385,0.0121854944385901,0.00183500040995161,0.0489925167031813,0.0126666721098653,0.0346188118432881
2,5000,1,9,"clt2",2,0.0256431328730043,0.0636262876573831,0.000655007212193973,0.0322461629589757,0.137017199937095,0.156432720876987
2,5000,1,9,"cltn1",1,0.0534268188126676,0.0443492032944405,0.00317305091291484,0.0679442995002208,0.09204341369991,0.117139235976691
2,5000,1,9,"clt1",1,0.0408203110285776,0.0447357939728277,0.00205272523560834,0.0550703293470533,0.0910167709780073,0.117416588001703
3,5000,1,9,"cltn5",5,0.0211847839957416,0.230136553780633,0.00046535901013906,0.0268865931063442,0.33237153268434,0.351710953153472
3,5000,1,9,"clt5",5,0.026340532508982,0.374017685821927,0.000801500761844399,0.0493106538465886,0.626930072680115,0.462377475089786
3,5000,1,9,"cltn4",4,0.0178346075687926,0.207725320698784,0.000379268779656845,0.0273439911239074,0.346742495483018,0.363104935892784
3,5000,1,9,"clt4",4,0.025634730021936,0.0920906535723277,0.000780604871454302,0.0425383300345517,0.125472976664663,0.13921834141115
3,5000,1,9,"cltn3",3,0.0123063265162982,0.106274571740204,0.000147823085707311,0.0174886964846377,0.0866485157289908,0.145900863739349
3,5000,1,9,"clt3",3,0.0159105305782784,0.268769891175111,0.000269328789261214,0.0241828996861737,0.407082735492631,0.367690443975642
3,5000,1,9,"cltn2",2,0.0238711593186652,0.0138998769769876,0.000679217200566833,0.0324231978038058,0.0349971446555377,0.0387369153276694
3,5000,1,9,"clt2",2,0.0426968837924808,0.0857328932223797,0.00168913137404915,0.0408933425353787,0.17819197609877,0.174371128405749
3,5000,1,9,"cltn1",1,0.0378555580790189,0.0367341658193102,0.00136315410063144,0.0355654716039209,0.130638768250426,0.112892034162142
3,5000,1,9,"clt1",1,0.0519426917389555,0.0371087187480728,0.00327877469434877,0.0736727727694766,0.128224190415412,0.113063836207713
4,5000,1,9,"cltn5",5,0.0192234593036209,0.123417465565592,0.000409762693410391,0.0364453853934735,0.124181098912616,0.160404742711334
4,5000,1,9,"clt5",5,0.0238617003527981,0.280827474496267,0.000739193077864516,0.0466086973933402,0.457284903678794,0.394870036872139
4,5000,1,9,"cltn4",4,0.0204490136717486,0.199272111755067,0.000466923161392408,0.0315921156493314,0.311701044234379,0.304009342189771
4,5000,1,9,"clt4",4,0.0286884518319868,0.346704209072886,0.000841040229997809,0.0384161094691522,0.652498087185622,0.47570148013586
4,5000,1,9,"cltn3",3,0.0228720355313307,0.203336585591907,0.000551156038862373,0.0277861390350681,0.278545821459091,0.295052128226011
4,5000,1,9,"clt3",3,0.012190366112738,0.234441397604468,0.000196052816864448,0.028916117625185,0.352636860884874,0.342413593304944
4,5000,1,9,"cltn2",2,0.0280143311013537,0.00640887842387566,0.000734859837965928,0.0279570341080361,0.00795647845473534,0.034085073747838
4,5000,1,9,"clt2",2,0.0193727606863192,0.052014669020379,0.000367707216939742,0.0243617771769312,0.158438419772334,0.148942455206952
4,5000,1,9,"cltn1",1,0.0408899597751268,0.0425646468247623,0.00151485036295087,0.0401447048545863,0.0505027222014771,0.116076985280928
4,5000,1,9,"clt1",1,0.0482009424460622,0.0436266392716017,0.00241126356118162,0.0574278784750696,0.0489102556713773,0.116776381493234
