"rep","n","probs","quants","model","comp","uwd1","uwd1o","uwd2","ks","kld","tv"
1,1000,2,11,"cltn5",5,0.0279454177037029,0.302910355114577,0.000846532691559464,0.036050748807386,0.34644726728393,0.359124704278811
1,1000,2,11,"clt5",5,0.0263548686878111,0.301251418070746,0.000723371991334471,0.0364498185645259,0.413717943988685,0.39381602037572
1,1000,2,11,"cltn4",4,0.0338846548667526,0.268765854713511,0.00127259023595102,0.0422479294146828,0.315309359106721,0.34618677230072
1,1000,2,11,"clt4",4,0.0412720814994209,0.309362534990177,0.00175248701951837,0.0442500383025827,0.461760953449771,0.41488212397987
1,1000,2,11,"cltn3",3,0.0331686833454158,0.169232513004449,0.00146889093018922,0.0525297373717319,0.162117995650837,0.225734516499758
1,1000,2,11,"clt3",3,0.0214873693994315,0.239560338786817,0.000549654919915397,0.0349367861040947,0.325508570014923,0.350913963761423
1,1000,2,11,"cltn2",2,0.0264183127975079,0.0368518741333191,0.000740299229760431,0.0315691289818952,0.0180100899536457,0.0656444544149827
1,1000,2,11,"clt2",2,0.0199196680088123,0.0230149758488686,0.000422350093369684,0.0269015845670432,0.0130273999208855,0.0483189110402588
1,1000,2,11,"cltn1",1,0.0392214492437075,0.0515221112115622,0.00165313605175216,0.0519363366419191,0.0879661634036524,0.122190417850363
1,1000,2,11,"clt1",1,0.0471010608850839,0.0523402793102622,0.00253270926868256,0.06241933995259,0.0867303253150468,0.122792705035878
2,1000,2,11,"cltn5",5,0.0349788968155148,0.382932807563744,0.00179555983242656,0.0606142887954527,0.435481486967405,0.428429330957753
2,1000,2,11,"clt5",5,0.0206052310829905,0.306072676090243,0.000408433646198592,0.0237884750046216,0.329669592731085,0.379500992348781
2,1000,2,11,"cltn4",4,0.0180748355879533,0.322573690071201,0.000337288858083747,0.0219815148506882,0.32111969671075,0.369590072743527
2,1000,2,11,"clt4",4,0.0241471522784884,0.320523502473825,0.000550296759158863,0.0236215187640254,0.295018361578213,0.356837109236587
2,1000,2,11,"cltn3",3,0.0160107192356439,0.166995983245028,0.000324230201641468,0.0319433709882919,0.0976932654910396,0.184038828948003
