"rep","n","probs","quants","model","comp","uwd1","uwd1o","uwd2","ks","kld","tv"
1,50,3,13,"cltn5",5,0.0323705055869515,0.345984273325672,0.00141245973385902,0.0478010332364268,0.5172027297049,0.442082471832957
1,50,3,13,"clt5",5,0.0450533249609497,0.27844030860583,0.00244461936068501,0.0595203711995239,0.39374885190148,0.389536039161493
1,50,3,13,"cltn4",4,0.0572429523180357,0.354330347011471,0.00427696606330858,0.0807975125458565,0.513648225144732,0.440674472465443
1,50,3,13,"clt4",4,0.0376784130787007,0.263290400623629,0.00193002897070203,0.0571395973662006,0.380458703830392,0.383156995161167
1,50,3,13,"cltn3",3,0.0298094113857038,0.288507729326103,0.000975075354579298,0.0373456148192197,0.422267420670082,0.400752771909549
1,50,3,13,"clt3",3,0.0353465360566145,0.275190408383312,0.0014652864556154,0.0489710177280866,0.422432952127079,0.402262861817492
1,50,3,13,"cltn2",2,0.0296235604312642,0.224500313679113,0.0010317161888052,0.0451636783589323,0.289848757807135,0.338948652797257
1,50,3,13,"clt2",2,0.0335765830037544,0.264111163110589,0.00106938397943917,0.0394815186812008,0.358154970610937,0.373150292428976
1,50,3,13,"cltn1",1,0.0697272041303079,0.0417960578858337,0.00524903030966727,0.0853086701313178,0.118104668363631,0.115216019128591
1,50,3,13,"clt1",1,0.0438210490144934,0.0417032182517312,0.00224980142510097,0.0603863535534039,0.12322922941745,0.114831894904553
2,50,3,13,"cltn5",5,0.163005426197908,0.445808819164027,0.0286907940371476,0.15028664955003,0.652986303365859,0.484471551896546
2,50,3,13,"clt5",5,0.15658454431559,0.41229165039643,0.0265277775591702,0.149796610573733,0.536299200327786,0.439825330715298
2,50,3,13,"cltn4",4,0.120360815546256,0.444021819319778,0.0145087264526377,0.106793570749891,0.630992084905258,0.476160493302766
2,50,3,13,"clt4",4,0.160066542027796,0.411121871316185,0.0272791148426381,0.150412102583201,0.500370114710969,0.424420253009039
2,50,3,13,"cltn3",3,0.157283412288676,0.448162995485167,0.0265951798150868,0.142318061928332,0.627491878164823,0.47552030651381
2,50,3,13,"clt3",3,0.164875703406033,0.324304296093281,0.0301223223421597,0.162135108992209,0.312190770485655,0.331752460333316
2,50,3,13,"cltn2",2,0.153020040229259,0.255061815471288,0.0237065405639724,0.150130059107726,0.346114430957995,0.361802211982103
2,50,3,13,"clt2",2,0.16080752078965,0.19418194934686,0.0277127225885269,0.153222576522058,0.184280885780799,0.194078116616084
2,50,3,13,"cltn1",1,0.166139178675262,0.156866704336565,0.0257720912342714,0.135611245769074,0.632846922205612,0.183631309842794
2,50,3,13,"clt1",1,0.17577264081772,0.158570392859416,0.0292352252095816,0.143877958595037,0.650660423180343,0.186208939298314
3,50,3,13,"cltn5",5,0.114670149361375,0.448573868006,0.0132851539563562,0.101929014394147,0.668673067431489,0.48275569118798
3,50,3,13,"clt5",5,0.148484721271964,0.448734440334153,0.0232377876815216,0.139674501398544,0.662940374064086,0.480488692084737
3,50,3,13,"cltn4",4,0.0987158751189016,0.472746509129701,0.00987800672260928,0.0954247408849718,0.69024420845974,0.490639631920842
3,50,3,13,"clt4",4,0.13052827503032,0.45334219961108,0.0176663355203401,0.121921493812995,0.616990012737623,0.46328447508082
3,50,3,13,"cltn3",3,0.128791456166874,0.418689868738097,0.0163945314690818,0.117363863072374,0.566202860680768,0.443849101975103
3,50,3,13,"clt3",3,0.0908611564466816,0.355961313654781,0.00790878754324786,0.0825442162214319,0.468914255661009,0.397738313781772
3,50,3,13,"cltn2",2,0.1317041755809,0.29515915096173,0.0171196078845252,0.112825524885628,0.376848489785176,0.361044471210723
3,50,3,13,"clt2",2,0.143117409464277,0.27516296051704,0.0206777113871538,0.12411963111326,0.223816507273126,0.263053732225508
