"rep","n","probs","quants","model","comp","uwd1","uwd1o","uwd2","ks","kld","tv"
1,1000,7,23,"cltn6",6,0.0145398547704717,0.627613921599818,0.000199617747183634,0.0128466034730889,0.758774050113337,0.521952939844421
1,1000,7,23,"clt6",6,0.0147783627089371,0.616705781419716,0.000227286599981942,0.0164614075692885,0.722683960768127,0.509506388134539
1,1000,7,23,"cltn5",5,0.0173429863618457,0.640227671411285,0.000280226637499894,0.0144418424764956,0.776844638092274,0.523529305076789
1,1000,7,23,"clt5",5,0.0164416320732062,0.634596469304294,0.000262661537912865,0.0155151267879923,0.75976507144463,0.517684621820816
1,1000,7,23,"cltn4",4,0.0183923930500454,0.624991376574534,0.000337804624451236,0.0204642298748796,0.729483637339045,0.503206845422698
1,1000,7,23,"clt4",4,0.0191510837170078,0.625016428071543,0.000336418972853132,0.016705152843056,0.732232167978003,0.503244691415942
1,1000,7,23,"cltn3",3,0.0181482291632015,0.528541901645088,0.000307816961825483,0.0170718775095233,0.53549688917403,0.422446969133855
1,1000,7,23,"clt3",3,0.0210055853449979,0.514830437152872,0.000388182562853896,0.0175942506065849,0.497807658983913,0.412460296302711
1,1000,7,23,"cltn2",2,0.0282199469425542,0.0275246248070928,0.000717304525140697,0.0241012727459252,0.0322546810344913,0.0536899726009223
1,1000,7,23,"clt2",2,0.0300639392394879,0.027912973462168,0.000817508837896455,0.0262883709589304,0.0314483560316497,0.0546789629471824
1,1000,7,23,"cltn1",1,0.0690500668319775,0.0696899525484824,0.00485713446506479,0.0747780431086721,0.211017968377261,0.131587684098618
1,1000,7,23,"clt1",1,0.0681125380461645,0.0706249911194799,0.00466240603701796,0.0712816500340017,0.206926308329535,0.132349687162931
2,1000,7,23,"cltn6",6,0.0281145465802634,0.505378967621396,0.000667953917199938,0.0228649747527734,0.511261096967122,0.438099078795989
2,1000,7,23,"clt6",6,0.0249996691247091,0.510636548670894,0.000552657707462225,0.0207540416404936,0.536138550495348,0.448325463901692
2,1000,7,23,"cltn5",5,0.0247909271433755,0.492713473277996,0.000526101207563363,0.0187801836140938,0.459810366553125,0.415882961093704
2,1000,7,23,"clt5",5,0.0286302795981578,0.494543370408558,0.000694502756325205,0.0199370471469526,0.474149202339069,0.422437518100073
2,1000,7,23,"cltn4",4,0.0278970842476318,0.46270417545798,0.000659874414497885,0.0208804694800041,0.383259440928542,0.377839275423376
2,1000,7,23,"clt4",4,0.0255932533436081,0.469079429799087,0.000557945364877337,0.0187787375461814,0.397536172019147,0.385932343373194
2,1000,7,23,"cltn3",3,0.0320196961730999,0.195795349083895,0.000864664887347258,0.0230901596490924,0.185005850338295,0.212221580577874
2,1000,7,23,"clt3",3,0.0279824762185016,0.314097653559147,0.000663980596257347,0.0220099191227395,0.244015477178692,0.279023290344582
2,1000,7,23,"cltn2",2,0.0206741781445384,0.018808473824116,0.00048895510497323,0.0235793728548824,0.0225692200077332,0.0416682676608901
2,1000,7,23,"clt2",2,0.0218336020668111,0.016239382239383,0.000525026533951576,0.0244730046678905,0.0223375033494144,0.0421801764100034
2,1000,7,23,"cltn1",1,0.0538753777746074,0.0551647825528325,0.00335049078467921,0.0708364955573114,0.181595164892164,0.11718410424494
2,1000,7,23,"clt1",1,0.0528333024701002,0.0555723121607268,0.00320321798434493,0.0685445029607255,0.179219700805936,0.117815782864469
3,1000,7,23,"cltn6",6,0.0172093325721634,0.579269510796983,0.000282028727361219,0.014830828883727,0.627870187921079,0.475713438478181
3,1000,7,23,"clt6",6,0.0151630809327266,0.583174607204462,0.000212599841740105,0.0140193026732689,0.636222911975394,0.478124906456824
3,1000,7,23,"cltn5",5,0.0138291066346282,0.556594222857287,0.000188635796078202,0.0130392017570028,0.567183975767071,0.450191862948143
3,1000,7,23,"clt5",5,0.014350275933636,0.561235491798398,0.000200452300500783,0.0134306384797979,0.578663196619257,0.45591337196653
3,1000,7,23,"cltn4",4,0.0168426572314451,0.509125934119621,0.000258560580948419,0.0147181869751049,0.486561033257573,0.407647920360817
3,1000,7,23,"clt4",4,0.0159592392635493,0.512354379775273,0.000227733061313517,0.0131422201078243,0.483169377040696,0.41220406138567
3,1000,7,23,"cltn3",3,0.0135616618711597,0.0400751436495093,0.000187106807859663,0.0136395178616815,0.0229771101170351,0.0821336827934001
3,1000,7,23,"clt3",3,0.0207380525054715,0.339452421349891,0.00036296552855418,0.0167966399461483,0.287461566374715,0.30036192690202
3,1000,7,23,"cltn2",2,0.0259743510725444,0.0284270737918082,0.0007331765214573,0.0278555826844245,0.0167905734257334,0.0566192577269043
3,1000,7,23,"clt2",2,0.0266251794543775,0.0353245698591623,0.000781909791138753,0.0282336337374208,0.017448799645536,0.0583121964501869
3,1000,7,23,"cltn1",1,0.0753594799404387,0.0746995365282429,0.00546034291353728,0.0630700061954476,0.155570138634071,0.133449853061373
3,1000,7,23,"clt1",1,0.0738041127255617,0.0767240211950539,0.00526331613928694,0.0631774454761833,0.153345140280404,0.134772168992419
4,1000,7,23,"cltn6",6,0.0252244992094166,0.635753601391657,0.000626652937063835,0.0231444912452723,0.808610726968556,0.539364355960423
4,1000,7,23,"clt6",6,0.0249688439212788,0.634397844700305,0.000626340225998143,0.0222213960302206,0.806958201389834,0.539000542048369
4,1000,7,23,"cltn5",5,0.0257956630879886,0.662577684409081,0.000633538875278454,0.0241477142271602,0.861986717622509,0.552259214993843
4,1000,7,23,"clt5",5,0.0302346884643218,0.655418684674556,0.000890303916101622,0.0261396376476147,0.849902800224075,0.549963067877612
4,1000,7,23,"cltn4",4,0.0243666774582751,0.707702728344169,0.000529666163813107,0.0188880449454726,0.995088020011535,0.582269627749114
4,1000,7,23,"clt4",4,0.0232557489881176,0.680577859877612,0.000485017896688269,0.0188055043323606,0.90774563407272,0.562466168892623
4,1000,7,23,"cltn3",3,0.0215886073522604,0.771517957593734,0.00042521422381801,0.0193596990793323,1.26407118764906,0.637929036123556
4,1000,7,23,"clt3",3,0.0188893442340165,0.715054714676258,0.000306337439585439,0.0147196377069198,1.02016019782714,0.586690450068657
4,1000,7,23,"cltn2",2,0.0248995011454291,0.0205991762662627,0.000585065338020497,0.0220864265692712,0.0302000983822335,0.0429135106085542
4,1000,7,23,"clt2",2,0.0221116428326721,0.107486194743981,0.000441239936568651,0.0188275170964335,0.104522064107335,0.135490092468602
4,1000,7,23,"cltn1",1,0.0488002359854221,0.0498644432426467,0.00251323523819968,0.0597815777846406,0.14385127752183,0.113397876660389
4,1000,7,23,"clt1",1,0.0492073582590024,0.0514040869121782,0.00239830820246806,0.0525428020007593,0.140664592834539,0.114868360064981
5,1000,7,23,"cltn6",6,0.0334998282606162,0.592604655108623,0.000995174468144185,0.0266010198474503,0.71783771213166,0.511890811050284
5,1000,7,23,"clt6",6,0.0318605537225215,0.580436791304969,0.000868729303467876,0.0244371889185992,0.699164487855149,0.505995509328503
