"rep","n","probs","quants","model","comp","uwd1","uwd1o","uwd2","ks","kld","tv"
1,50,7,23,"cltn6",6,0.0715342788159612,0.490525823381775,0.00640894615482035,0.0914416716937115,0.749053869307546,0.523928853876916
1,50,7,23,"clt6",6,0.0802723572666651,0.486622197184884,0.00740197433940027,0.100529108868287,0.687914947900367,0.502436270416616
1,50,7,23,"cltn5",5,0.0737395482642991,0.50145350023897,0.00701143708801953,0.0959144823697469,0.748613165855957,0.523772802121633
1,50,7,23,"clt5",5,0.0795275595913043,0.500112625562262,0.00742733395464162,0.10201927166022,0.675610430308012,0.498037188088575
1,50,7,23,"cltn4",4,0.0756395196566347,0.51345004422713,0.00771877109111787,0.0985815286957804,0.743422705762815,0.521948070469176
1,50,7,23,"clt4",4,0.0838745226625016,0.503496145354441,0.00823812657417673,0.104678344872132,0.644032578078645,0.486510570658944
1,50,7,23,"cltn3",3,0.0749633810627749,0.516905360035616,0.00804942785398376,0.10239359709076,0.713213975255055,0.511402020242284
1,50,7,23,"clt3",3,0.0802738657242494,0.51822781854897,0.00834686872356425,0.106512522848326,0.607166147845314,0.472528496693424
1,50,7,23,"cltn2",2,0.0822837396971551,0.504987172900624,0.00949163380799191,0.106432067639399,0.609605175147332,0.473633105266497
1,50,7,23,"clt2",2,0.0833487214291064,0.539035931865942,0.00945858336437503,0.108543999519867,0.587717278504369,0.464205496041257
1,50,7,23,"cltn1",1,0.0902314308450926,0.0898508174235412,0.0114672167306979,0.115626985726965,0.334444839584909,0.1346018028614
1,50,7,23,"clt1",1,0.0891279858269875,0.0896113085254024,0.0111279342202013,0.115475569623024,0.329803874344409,0.133074923066278
2,50,7,23,"cltn6",6,0.0433708277459158,0.552941960996375,0.00222999410352186,0.0487381501609914,0.820929367554198,0.548667481067678
2,50,7,23,"clt6",6,0.0447220803527142,0.527468277057718,0.00195242739151232,0.0428169881169485,0.716045452663045,0.513638589247093
2,50,7,23,"cltn5",5,0.0460430147454962,0.551647426780262,0.00228307462073882,0.047999802396369,0.791344485129304,0.538973100664265
2,50,7,23,"clt5",5,0.0429639039023523,0.516861889442,0.00185014612369999,0.0437091889581072,0.675231911241102,0.499238303022848
2,50,7,23,"cltn4",4,0.0408776204058378,0.546890748856435,0.00181086120104057,0.0443081572062898,0.741579436595744,0.522273847863476
2,50,7,23,"clt4",4,0.0426230094123171,0.504646642418505,0.00184429229042779,0.0436629259970445,0.624493336798403,0.480808128803433
2,50,7,23,"cltn3",3,0.0527287312299554,0.521450447888797,0.00256023574750827,0.0450248577064114,0.627034259355086,0.481770022595529
2,50,7,23,"clt3",3,0.0363808518184588,0.468183021374832,0.00139397574755276,0.0384794595384657,0.501143282839621,0.432438591159831
2,50,7,23,"cltn2",2,0.05879438380511,0.455750465629711,0.00343783222947532,0.0510303487186076,0.410808866178284,0.393403328596969
2,50,7,23,"clt2",2,0.025036737919839,0.191120628275291,0.000700075811620305,0.0309133540502808,0.169069606393912,0.20521483088326
2,50,7,23,"cltn1",1,0.0993975324986223,0.104934219458593,0.0104009293785876,0.0945515544474425,0.104182550262893,0.146634827982066
2,50,7,23,"clt1",1,0.0973646916288528,0.104437479311903,0.0101268695668442,0.0934553162126376,0.104016600764783,0.146350416018572
3,50,7,23,"cltn6",6,0.0514749671806475,0.453383600125147,0.00238098572100901,0.0425257002070344,0.623814530336528,0.481566881619427
3,50,7,23,"clt6",6,0.0512999148959151,0.42399569002447,0.00233064449886506,0.039075361453248,0.543805449873937,0.450047545625324
3,50,7,23,"cltn5",5,0.0526828668149412,0.445650772971417,0.00261769760636008,0.045694137382056,0.591126832931903,0.469048999899831
3,50,7,23,"clt5",5,0.0460543791064146,0.415297219073232,0.00186989971421055,0.0348275561182546,0.503684811354745,0.433511899856477
3,50,7,23,"cltn4",4,0.0560310953525401,0.439310532072788,0.00299404690044394,0.0496897416837477,0.537126807301287,0.447780672925484
3,50,7,23,"clt4",4,0.052692956920352,0.410517985185636,0.00253568491769974,0.0428547783985515,0.451448781528808,0.411384506206367
3,50,7,23,"cltn3",3,0.0497730861558518,0.432917383656145,0.00252958059048908,0.0457098457044837,0.462985578221523,0.417038467647037
3,50,7,23,"clt3",3,0.0564486337154572,0.401094068798697,0.00290465860312415,0.046361984904683,0.366090787319742,0.372388328017693
3,50,7,23,"cltn2",2,0.0570618421878222,0.396822077990806,0.00350626358662688,0.0547425453672296,0.312039610504154,0.344406998072807
3,50,7,23,"clt2",2,0.0576136929060342,0.354728479944685,0.00306110396247936,0.0469602181132368,0.270533830247551,0.30068256844871
3,50,7,23,"cltn1",1,0.0732955719421754,0.0823035465046863,0.0054941493367597,0.0699279005746536,0.123218243498532,0.134326123312796
3,50,7,23,"clt1",1,0.0735002629221356,0.080254046291476,0.00549169653144314,0.0692946651221132,0.124906083681793,0.133221986876105
4,50,7,23,"cltn6",6,0.106533925395796,0.503371752940642,0.0107577502180392,0.0918564612862239,0.697392731314237,0.504616319392515
