"rep","n","probs","quants","tail","model","uwd1","uwd2","width_mu","width_sigma","width_n","cover90_mu","cover90_sigma","cover90_n"
2,1000,1,3,0,"ord",0.0293949392611556,0.000821056860622621,0.3419365,0.359178,5168.4235,0,1,1
2,1000,1,3,0,"ind",0.0149890547014624,0.000233432668002242,1.880447,2.865681,NA,1,1,NA
2,1000,1,3,0,"kern",0.0360839669108342,0.00120624550741017,NA,NA,NA,NA,NA,NA
2,1000,1,3,0,"spline",0.0995140748652307,0.0102017197759614,NA,NA,NA,NA,NA,NA
3,50,1,3,0,"cltn",0.0482204787941247,0.00225254508844046,1.872932,1.909274,NA,1,1,NA
3,50,1,3,0,"ordn",0.0482204787941247,0.00225254508844046,1.884885,2.069066,NA,1,1,NA
3,50,1,3,0,"clt",0.0411551640065565,0.00185096195775175,1.194609,1.302357,596.021235,1,1,1
3,50,1,3,0,"ord",0.0255602696399795,0.000635959577155295,1.206906,1.31014,560.928955,1,1,1
3,50,1,3,0,"ind",0.0591716945849542,0.00342895870520579,2.709491,3.885628,NA,1,1,NA
3,50,1,3,0,"kern",0.0476349615164969,0.00235206045749831,NA,NA,NA,NA,NA,NA
3,50,1,3,0,"spline",0.0884449660789261,0.00711094579772267,NA,NA,NA,NA,NA,NA
3,150,1,3,0,"cltn",0.0164228836075556,0.000233462212284033,1.07105,1.1383,NA,1,1,NA
3,150,1,3,0,"ordn",0.0164228836075556,0.000233462212284033,1.047111,1.109961,NA,1,1,NA
3,150,1,3,0,"clt",0.0193515760787878,0.000364214507373614,0.532918,0.5720645,2706.23475,1,1,0
3,150,1,3,0,"ord",0.019254485673285,0.000381786729126449,0.5283585,0.5626405,2736.7351,1,1,0
3,150,1,3,0,"ind",0.0268761655133097,0.000748678469858598,2.031131,3.263809,NA,1,1,NA
3,150,1,3,0,"kern",0.0207035675147999,0.000475556818185175,NA,NA,NA,NA,NA,NA
3,150,1,3,0,"spline",0.0872325904595345,0.00782800072925056,NA,NA,NA,NA,NA,NA
3,500,1,3,0,"cltn",0.0314435385149207,0.00103578376104091,0.5627225,0.6099405,NA,1,1,NA
3,500,1,3,0,"ordn",0.0314435385149207,0.00103578376104091,0.5852365,0.6067615,NA,1,1,NA
3,500,1,3,0,"clt",0.021552118825359,0.000438532879944481,0.366056,0.3922685,4607.0797,1,1,1
3,500,1,3,0,"ord",0.0150470188710888,0.000209768651562053,0.3909285,0.4159815,4835.77125,1,1,1
3,500,1,3,0,"ind",0.0197376013923718,0.000408360417550286,2.116734,3.43096,NA,1,1,NA
3,500,1,3,0,"kern",0.0236592451569407,0.000602729881392393,NA,NA,NA,NA,NA,NA
3,500,1,3,0,"spline",0.0990495257767322,0.00972227482877978,NA,NA,NA,NA,NA,NA
3,1000,1,3,0,"cltn",0.0199899772634501,0.00039638033683875,0.393823,0.4123205,NA,1,1,NA
3,1000,1,3,0,"ordn",0.0199899772634501,0.00039638033683875,0.4046915,0.432288,NA,1,1,NA
3,1000,1,3,0,"clt",0.00579554156316655,3.53748795565505e-05,0.427224,0.4440695,3428.3192,1,1,1
3,1000,1,3,0,"ord",0.00922394906337667,0.000101281483637499,0.4193125,0.456106,3266.76525,1,1,1
3,1000,1,3,0,"ind",0.0179298330543932,0.000308238820820227,1.899728,3.003742,NA,1,1,NA
3,1000,1,3,0,"kern",0.0118217509483328,0.000152607507383333,NA,NA,NA,NA,NA,NA
3,1000,1,3,0,"spline",0.103274950922923,0.0106343764568062,NA,NA,NA,NA,NA,NA
4,50,1,3,0,"cltn",0.115249286539308,0.0120103241708165,1.593897,1.783302,NA,1,1,NA
4,50,1,3,0,"ordn",0.115249286539308,0.0120103241708165,1.682646,1.721262,NA,0,1,NA
4,50,1,3,0,"clt",0.131100881209984,0.0151450993508434,1.494089,1.448081,388.80562,1,1,1
4,50,1,3,0,"ord",0.151882107935682,0.0200972191908934,1.267687,1.349867,391.282435,0,1,1
4,50,1,3,0,"ind",0.128966549772393,0.0164910925661268,2.549147,3.558658,NA,1,1,NA
4,50,1,3,0,"kern",0.153152330103935,0.019575246076178,NA,NA,NA,NA,NA,NA
